[2026-02-22 16:29:42] [INFO    ] discord.client: logging in using static token
[2026-02-22 16:29:43] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-02-22 16:29:43] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-02-22 16:29:43] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1081959306339033228', 'username': 'Praseodymium–nickel (PrNi5)', 'avatar': 'd6a2579e6b54740938d4c23c74851289', 'discriminator': '7897', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'd72a4432879ed9a984f3d3bf3bd6b137', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-02-22 16:29:44] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-02-22 16:29:44] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-02-22 16:29:44] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1081959306339033228', 'name': 'Praseodymium–nickel (PrNi5)', 'icon': 'd6a2579e6b54740938d4c23c74851289', 'description': '', 'type': None, 'bot': {'id': '1081959306339033228', 'username': 'Praseodymium–nickel (PrNi5)', 'avatar': 'd6a2579e6b54740938d4c23c74851289', 'discriminator': '7897', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'd72a4432879ed9a984f3d3bf3bd6b137', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': False, 'bot_require_code_grant': False, 'integration_types_config': {'0': {}, '1': {}}, 'verify_key': '08cbb5409715a8f7c7d4aa1fd706a0946ef700664a08c7749b6decb339bed21d', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '896694238933291008', 'username': 'leaveorillnuke', 'avatar': '2a03d5308eee0b0ddd7279042dc31eb0', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 13902447, 'global_name': 'tatatatatatata kururi', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#d4226f', 'clan': {'identity_guild_id': '1009525727504384150', 'identity_enabled': None, 'tag': None, 'badge': None}, 'primary_guild': {'identity_guild_id': '1009525727504384150', 'identity_enabled': None, 'tag': None, 'badge': None}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': False, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 192, 'monetization_state': 1, 'verification_eligibility_flags': 90908, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 1, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-02-22 16:29:44] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-02-22 16:29:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-t9z7",{"micros":0.0}]']}}
[2026-02-22 16:29:44] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-02-22 16:29:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
